STNAME,CTYNAME,POPESTIMATE2019,NPOPCHG_2019,BIRTHS2019,DEATHS2019,NATURALINC2019,INTERNATIONALMIG2019,DOMESTICMIG2019,NETMIG2019,RESIDUAL2019,GQESTIMATES2019,RBIRTH2019,RDEATH2019,RNATURALINC2019,RINTERNATIONALMIG2019,RDOMESTICMIG2019,RNETMIG2019,Personal income (Thousands of dollars) ,# Firearm Fatalities,County Value,AIAN,Asian,Black,Hispanic,White
Idaho,Gem County,18112,525,200,203,-3,-1,528,527,1,148,11.20479565,11.37286759,-0.168071935,-0.056023978,29.58066052,29.52463654,720830,17,20,,,,,
Idaho,Gooding County,15179,63,191,117,74,0,-9,-9,-2,31,12.60934148,7.724046872,4.885294603,0,-0.594157452,-0.594157452,910817,13,17,,,,,
Idaho,Idaho County,16667,191,149,179,-30,1,219,220,1,520,8.991340555,10.80167758,-1.810337024,0.060344568,13.21546028,13.27580485,587511,21,26,,,,,
Idaho,Jefferson County,29871,466,496,163,333,-1,135,134,-1,141,16.73527229,5.499696336,11.23557595,-0.033740468,4.554963223,4.521222755,1104750,18,13,,,,,
Idaho,Jerome County,24412,346,367,152,215,93,41,134,-3,116,15.14088865,6.270885763,8.870002888,3.836791947,1.691488923,5.52828087,930531,18,15,,,,,
Idaho,Kootenai County,165697,4488,1815,1503,312,-118,4277,4159,17,1476,11.10410944,9.195303849,1.908805589,-0.721920063,26.16654329,25.44462323,7746478,117,15,,,,,
Idaho,Latah County,40108,279,422,215,207,52,20,72,0,2773,10.55831467,5.379236149,5.179078524,1.301024557,0.50039406,1.801418617,1673085,22,11,,,,,
Idaho,Lemhi County,8027,95,75,99,-24,-4,124,120,-1,80,9.399085156,12.40679241,-3.00770725,-0.501284542,15.53982079,15.03853625,348171,14,36,,,,,
Idaho,Lewis County,3838,6,34,37,-3,3,7,10,-1,72,8.865710561,9.64797914,-0.782268579,0.782268579,1.825293351,2.60756193,187490,,,,,,,
Idaho,Lincoln County,5366,-32,66,41,25,23,-78,-55,-2,37,12.26309922,7.617985879,4.645113341,4.273504274,-14.49275362,-10.21924935,214691,,,,,,,
Idaho,Madison County,39907,646,1108,141,967,-12,-305,-317,-4,625,27.99110752,3.562045271,24.42906225,-0.303152789,-7.705133387,-8.008286176,1143272,10,5,,,,,
Idaho,Minidoka County,21039,320,308,179,129,3,188,191,0,82,14.75166435,8.573207529,6.178456823,0.143685042,9.004262656,9.147947699,856028,15,14,,,,,
Idaho,Nez Perce County,40408,152,457,452,5,-20,170,150,-3,1048,11.33095309,11.20698205,0.12397104,-0.495884161,4.215015372,3.719131211,1880036,37,18,,,,,
Idaho,Oneida County,4531,69,54,41,13,-3,61,58,-2,50,12.0093406,9.118203047,2.891137551,-0.667185589,13.56610697,12.89892138,172795,,,,,,,
Idaho,Owyhee County,11823,154,141,94,47,-5,110,105,2,166,12.0040865,8.002724332,4.001362166,-0.425676826,9.364890175,8.939213349,456433,14,24,,,,,
Idaho,Payette County,23951,444,306,214,92,-34,386,352,0,125,12.89561296,9.018500569,3.877112394,-1.432845885,16.26701505,14.83416916,992670,20,17,,,,,
Idaho,Power County,7681,-19,115,61,54,-1,-73,-74,1,47,14.95351408,7.931863988,7.021650088,-0.130030557,-9.492230674,-9.622261231,323928,,,,,,,
Idaho,Shoshone County,12882,92,160,159,1,6,86,92,-1,163,12.46494235,12.38703646,0.07790589,0.467435338,6.699906513,7.167341851,464055,17,27,,,,,
Idaho,Teton County,12142,491,135,43,92,15,380,395,4,7,11.34787543,3.614508469,7.733366957,1.260875047,31.94216786,33.20304291,499055,,,,,,,
Idaho,Twin Falls County,86878,849,1195,778,417,65,369,434,-2,964,13.82245947,8.999057297,4.823402176,0.75184926,4.268190415,5.020039675,3580190,69,16,,,,,
Idaho,Valley County,11392,371,102,72,30,-14,354,340,1,66,9.101860527,6.424842725,2.677017802,-1.249274974,31.58881007,30.33953509,575913,,,,,,,
Idaho,Washington County,10194,79,108,86,22,-8,64,56,1,119,10.63567876,8.469151608,2.166527155,-0.787828057,6.302624452,5.514796396,369750,,,,,,,
Illinois,Adams County,65435,-188,776,850,-74,18,-131,-113,-1,2020,11.84208518,12.97135619,-1.12927101,0.274687543,-1.999114896,-1.724427353,3112683,40,12,,,,,
Illinois,Alexander County,5761,-280,54,72,-18,0,-263,-263,1,132,9.150991357,12.20132181,-3.050330452,0,-44.56871717,-44.56871717,217509,,,,,,,
Illinois,Bond County,16426,-211,146,157,-11,4,-206,-202,2,1602,8.831624475,9.497020839,-0.665396365,0.241962314,-12.46105919,-12.21909688,625536,,,,,,,
Illinois,Boone County,53544,64,564,417,147,2,-84,-82,-1,310,10.53969203,7.792644641,2.747047391,0.037374794,-1.569741366,-1.532366572,2560781,15,6,,,,,
Illinois,Brown County,6578,15,56,56,0,5,10,15,0,1985,8.522943459,8.522943459,0,0.760977095,1.521954189,2.282931284,243308,,,,,,,
Illinois,Bureau County,32628,-331,314,383,-69,18,-281,-263,1,457,9.57506823,11.67914373,-2.104075503,0.548889262,-8.56877125,-8.019881989,1381556,15,9,,,,,
Illinois,Calhoun County,4739,-90,39,56,-17,1,-74,-73,0,90,8.152173913,11.70568562,-3.553511706,0.2090301,-15.46822742,-15.25919732,204928,,,,,,,
Illinois,Carroll County,14305,-9,131,192,-61,2,51,53,-1,223,9.154757329,13.4176596,-4.262902268,0.139767288,3.56406583,3.703833118,635902,,,,,,,
Illinois,Cass County,12147,-165,167,130,37,44,-247,-203,1,184,13.65550513,10.63003393,3.025471197,3.597857639,-20.19706448,-16.59920684,499972,,,,,,,
Illinois,Champaign County,209689,-229,2232,1389,843,1608,-2697,-1089,17,16386,10.63852605,6.620480593,4.018045457,7.664314466,-12.85488564,-5.190571177,9556431,74,7,,,19,,6
Illinois,Christian County,32304,-349,324,396,-72,-1,-275,-276,-1,1594,9.975830165,12.19268131,-2.216851148,-0.030789599,-8.4671398,-8.497929399,1366948,18,11,,,,,
Illinois,Clark County,15441,-159,168,199,-31,-3,-125,-128,0,221,10.82439354,12.82175188,-1.997358333,-0.193292742,-8.053864244,-8.247156986,649422,14,18,,,,,
Illinois,Clay County,13184,-82,144,173,-29,1,-53,-52,-1,305,10.88846881,13.08128544,-2.192816635,0.075614367,-4.007561437,-3.93194707,522109,,,,,,,
Illinois,Clinton County,37562,-135,413,367,46,-2,-180,-182,1,2069,10.97543151,9.752986354,1.222445156,-0.053149789,-4.783481045,-4.836630835,1798366,11,6,,,,,
Illinois,Coles County,50621,-208,452,500,-48,51,-210,-159,-1,3298,8.910793494,9.85707245,-0.946278955,1.00542139,-4.139970429,-3.134549039,2137880,17,7,,,,,
Illinois,Cook County,5150233,-21727,61822,42432,19390,11637,-52810,-41173,56,90978,11.97846233,8.221508743,3.756953585,2.254753423,-10.23232176,-7.977568333,338650193,3909,15,,1,44,8,5
Illinois,Crawford County,18667,-163,196,217,-21,-2,-140,-142,0,1493,10.45416967,11.57425927,-1.120089607,-0.106675201,-7.467264048,-7.573939248,871927,,,,,,,
Illinois,Cumberland County,10766,-38,119,109,10,0,-48,-48,0,117,11.0338433,10.10662958,0.927213723,0,-4.450625869,-4.450625869,786470,,,,,,,
Illinois,DeKalb County,104897,548,1107,729,378,198,-26,172,-2,5646,10.58084742,6.967875133,3.612972291,1.892509295,-0.248511322,1.643997974,4406928,,,,,,,
Illinois,De Witt County,15638,-156,162,205,-43,0,-112,-112,-1,249,10.3079664,13.04403156,-2.736065157,0,-7.126495291,-7.126495291,730295,41,8,,,,,
Illinois,Douglas County,19465,7,246,175,71,-3,-61,-64,0,168,12.64034119,8.992112633,3.648228554,-0.154150502,-3.134393546,-3.288544049,993882,,,,,,,
Illinois,DuPage County,922921,-4326,10158,6595,3563,2050,-10009,-7959,70,12828,10.98062446,7.129082332,3.85154213,2.216014978,-10.81955801,-8.60354303,70435457,192,4,,,13,2,4
Illinois,Edgar County,17161,-199,170,227,-57,5,-147,-142,0,283,9.849077373,13.15141508,-3.302337707,0.289678746,-8.51655514,-8.226876394,714830,,,,,,,
Illinois,Edwards County,6395,8,74,59,15,0,-7,-7,0,52,11.57878266,9.231732123,2.34705054,0,-1.095290252,-1.095290252,260420,,,,,,,
