State,County,Average Number of guns
Texas,Duval,2317.700787
Texas,Eastland,2317.700787
Texas,Ector,2317.700787
Texas,Edwards,2317.700787
Texas,Ellis,2317.700787
Texas,El Paso,2317.700787
Texas,Erath,2317.700787
Texas,Falls,2317.700787
Texas,Fannin,2317.700787
Texas,Fayette,2317.700787
Texas,Fisher,2317.700787
Texas,Floyd,2317.700787
Texas,Foard,2317.700787
Texas,Fort Bend,2317.700787
Texas,Franklin,2317.700787
Texas,Freestone,2317.700787
Texas,Frio,2317.700787
Texas,Gaines,2317.700787
Texas,Galveston,2317.700787
Texas,Garza,2317.700787
Texas,Gillespie,2317.700787
Texas,Glasscock,2317.700787
Texas,Goliad,2317.700787
Texas,Gonzales,2317.700787
Texas,Gray,2317.700787
Texas,Grayson,2317.700787
Texas,Gregg,2317.700787
Texas,Grimes,2317.700787
Texas,Guadalupe,2317.700787
Texas,Hale,2317.700787
Texas,Hall,2317.700787
Texas,Hamilton,2317.700787
Texas,Hansford,2317.700787
Texas,Hardeman,2317.700787
Texas,Hardin,2317.700787
Texas,Harris,2317.700787
Texas,Harrison,2317.700787
Texas,Hartley,2317.700787
Texas,Haskell,2317.700787
Texas,Hays,2317.700787
Texas,Hemphill,2317.700787
Texas,Henderson,2317.700787
Texas,Hidalgo,2317.700787
Texas,Hill,2317.700787
Texas,Hockley,2317.700787
Texas,Hood,2317.700787
Texas,Hopkins,2317.700787
Texas,Houston,2317.700787
Texas,Howard,2317.700787
Texas,Hudspeth,2317.700787
Texas,Hunt,2317.700787
Texas,Hutchinson,2317.700787
Texas,Irion,2317.700787
Texas,Jack,2317.700787
Texas,Jackson,2317.700787
Texas,Jasper,2317.700787
Texas,Jeff Davis,2317.700787
Texas,Jefferson,2317.700787
Texas,Jim Hogg,2317.700787
Texas,Jim Wells,2317.700787
Texas,Johnson,2317.700787
Texas,Jones,2317.700787
Texas,Karnes,2317.700787
Texas,Kaufman,2317.700787
Texas,Kendall,2317.700787
Texas,Kenedy,2317.700787
Texas,Kent,2317.700787
Texas,Kerr,2317.700787
Texas,Kimble,2317.700787
Texas,King,2317.700787
Texas,Kinney,2317.700787
Texas,Kleberg,2317.700787
Texas,Knox,2317.700787
Texas,Lamar,2317.700787
Texas,Lamb,2317.700787
Texas,Lampasas,2317.700787
Texas,La Salle,2317.700787
Texas,Lavaca,2317.700787
Texas,Lee,2317.700787
Texas,Leon,2317.700787
Texas,Liberty,2317.700787
Texas,Limestone,2317.700787
Texas,Lipscomb,2317.700787
Texas,Live Oak,2317.700787
Texas,Llano,2317.700787
Texas,Loving,2317.700787
Texas,Lubbock,2317.700787
Texas,Lynn,2317.700787
Texas,McCulloch,2317.700787
Texas,McLennan,2317.700787
Texas,McMullen,2317.700787
Texas,Madison,2317.700787
Texas,Marion,2317.700787
Texas,Martin,2317.700787
Texas,Mason,2317.700787
Texas,Matagorda,2317.700787
Texas,Maverick,2317.700787
Texas,Medina,2317.700787
Texas,Menard,2317.700787
Texas,Midland,2317.700787
Texas,Milam,2317.700787
Texas,Mills,2317.700787
Texas,Mitchell,2317.700787
Texas,Montague,2317.700787
Texas,Montgomery,2317.700787
Texas,Moore,2317.700787
Texas,Morris,2317.700787
Texas,Motley,2317.700787
Texas,Nacogdoches,2317.700787
Texas,Navarro,2317.700787
Texas,Newton,2317.700787
Texas,Nolan,2317.700787
Texas,Nueces,2317.700787
Texas,Ochiltree,2317.700787
Texas,Oldham,2317.700787
Texas,Orange,2317.700787
Texas,Palo Pinto,2317.700787
Texas,Panola,2317.700787
Texas,Parker,2317.700787
Texas,Parmer,2317.700787
Texas,Pecos,2317.700787
Texas,Polk,2317.700787
Texas,Potter,2317.700787
Texas,Presidio,2317.700787
Texas,Rains,2317.700787
Texas,Randall,2317.700787
Texas,Reagan,2317.700787
Texas,Real,2317.700787
Texas,Red River,2317.700787
Texas,Reeves,2317.700787
Texas,Refugio,2317.700787
Texas,Roberts,2317.700787
Texas,Robertson,2317.700787
Texas,Rockwall,2317.700787
Texas,Runnels,2317.700787
Texas,Rusk,2317.700787
Texas,Sabine,2317.700787
Texas,San Augustine,2317.700787
Texas,San Jacinto,2317.700787
Texas,San Patricio,2317.700787
Texas,San Saba,2317.700787
Texas,Schleicher,2317.700787
Texas,Scurry,2317.700787
Texas,Shackelford,2317.700787
Texas,Shelby,2317.700787
Texas,Sherman,2317.700787
Texas,Smith,2317.700787
Texas,Somervell,2317.700787
Texas,Starr,2317.700787
Texas,Stephens,2317.700787
Texas,Sterling,2317.700787
Texas,Stonewall,2317.700787
Texas,Sutton,2317.700787
Texas,Swisher,2317.700787
Texas,Tarrant,2317.700787
Texas,Taylor,2317.700787
Texas,Terrell,2317.700787
Texas,Terry,2317.700787
Texas,Throckmorton,2317.700787
Texas,Titus,2317.700787
Texas,Tom Green,2317.700787
Texas,Travis,2317.700787
Texas,Trinity,2317.700787
Texas,Tyler,2317.700787
Texas,Upshur,2317.700787
Texas,Upton,2317.700787
Texas,Uvalde,2317.700787
Texas,Val Verde,2317.700787
Texas,Van Zandt,2317.700787
Texas,Victoria,2317.700787
Texas,Walker,2317.700787
Texas,Waller,2317.700787
Texas,Ward,2317.700787
Texas,Washington County,2317.700787
Texas,Webb,2317.700787
Texas,Wharton,2317.700787
Texas,Wheeler,2317.700787
Texas,Wichita,2317.700787
Texas,Wilbarger,2317.700787
Texas,Willacy,2317.700787
Texas,Williamson,2317.700787
Texas,Wilson,2317.700787
Texas,Winkler,2317.700787
Texas,Wise,2317.700787
Texas,Wood,2317.700787
Texas,Yoakum,2317.700787
Texas,Young,2317.700787
Texas,Zapata,2317.700787
Texas,Zavala,2317.700787
Utah,Beaver,2512.275862
Utah,Box Elder,2512.275862
Utah,Cache,2512.275862
Utah,Carbon,2512.275862
Utah,Daggett,2512.275862
Utah,Davis,2512.275862
Utah,Duchesne,2512.275862
Utah,Emery,2512.275862
Utah,Garfield,2512.275862
Utah,Grand,2512.275862
Utah,Iron,2512.275862
Utah,Juab,2512.275862
Utah,Kane,2512.275862
Utah,Millard,2512.275862
Utah,Morgan,2512.275862
Utah,Piute,2512.275862
Utah,Rich,2512.275862
Utah,Salt Lake,2512.275862
Utah,San Juan,2512.275862
Utah,Sanpete,2512.275862
Utah,Sevier,2512.275862
Utah,Summit,2512.275862
Utah,Tooele,2512.275862
Utah,Uintah,2512.275862
Utah,Utah County,2512.275862
